date,desc,btc_in,btc_out,hash,bal
20140315,PAYMENT RECEIVED,0.05,0,53d6f32dd9a45937ba33fc2aeea59a29133c3dc3265297cc4553fb6102bd0ff8,17.83269329
20140315,PAYMENT RECEIVED,0.479,0,c9f71056a1a7340c20b2ee57d958a74d5a88cb06e685413fd15e7b3e9ec8c32f,17.74269329
20140315,PAYMENT SENT,0,-66.6219,76f537b975ee83bb9f7bf4dfbc515bb4248121b1a2380e0bbc361a8a64632c27,17.11494079
20140315,PAYMENT RECEIVED,0.1487525,0,401ed693e76021753ebd7cf00dad4e9247bdeb79e77183787a4fc7dcd4900b9b,17.26369329
20140314,PAYMENT RECEIVED,0.19,0,d45cbbaeb553c40a68323bd32b6c4c0a7494302dbb7fa1d0369db79c4e9c9e3f,83.71674079
20140315,PAYMENT RECEIVED,0.0201,0,b0ca9841deb8757ff6750e0bffd5f699c27f6ea00a6cf31488912eb729e3f7d8,83.73684079
20140314,PAYMENT RECEIVED,0.02,0,07a94a8ccb4ef79c14ad282a075e351319d46cd292418f80449b6d56f504a000,83.52674079
20140314,PAYMENT RECEIVED,0.25,0,f7e73f4fd9bd51b316907705fc7bb44fef27b72788eff635c8292ee2e5c06853,83.50674079
20140314,PAYMENT RECEIVED,0.3223933,0,76d2ed348ad094cea1ea190bf24524bd19a8cfb237cc9d6a975cc7bfadfb68eb,83.25674079
20140314,PAYMENT RECEIVED,0.041,0,c5c60ccebf897cbc9965ae746c0535a55f5d41aea72b158080b13735d2eb7d35,82.91584749
20140314,PAYMENT RECEIVED,0.0185,0,288d215f9abc92d909eb6c4de67e714747fe586b824bb2ad96e33d3f04233f8b,82.93434749
20140314,PAYMENT RECEIVED,0.06617547,0,e8e1cf00ad85f1176864dc31c966c7c3059aefb7eed236ceffde1d304429523d,82.85884749
20140314,PAYMENT RECEIVED,0.016,0,656ede4ece8633f6391e1b5cc93ebcbafe3dbdf9294e68f0476a2549462cd9df,82.87484749
20140314,PAYMENT RECEIVED,0.0724,0,fe8a0fc49a26b66fffa08eadcb8c5c9270e75924265a953848824dc8e58bbd5a,82.76123202
20140314,PAYMENT RECEIVED,0.03144,0,8bc3d99de5e35653583f89c98e2dcba914230c6391de7adcff4e22743455c2f9,82.79267202
20140314,PAYMENT RECEIVED,0.02,0,bd79d597c2d40b639bfafafc7437e02b3411f95f91d4f8cb5634a66fa40b5500,82.68883202
20140314,PAYMENT RECEIVED,0.02,0,591118b290bdaf3b65d46d5071d7b0d3ef04523858f0c030c4ef91b04e6ada83,81.83927163
20140314,PAYMENT RECEIVED,0.6064,0,ccdc22ef18c71614ec2bbf0bafcd5a314b931deec345efebf22442400cc455a0,82.44567163
20140314,PAYMENT RECEIVED,0.22316039,0,a35f54c6f9e3b73bc3cf0ef71eee515a76a5e652b8824f04838440e1ee35db8c,82.66883202
20140313,PAYMENT RECEIVED,0.1,0,1e9d51ab5ab20d1f2e10498518e2ae7b38f7ae5925ae0fe30c735590612b374f,81.81927163
20140313,PAYMENT RECEIVED,0.02,0,1c286d9479c186cf575c072ab2ce1cea21c67b0415342cdd6752bd6458ad484e,81.71927163
20140313,PAYMENT RECEIVED,0.024,0,bed3784055edbf8bdaa6d491814b2317b385a93b98d200bed6d3d546f60a4333,81.56917163
20140313,PAYMENT RECEIVED,0.0301,0,3ba900a4fdd5f9d352565b52e36a5074d322240b76bc8f1af6041ba7b91170ac,81.59927163
20140313,PAYMENT RECEIVED,0.1,0,528bb6106a12b2e5f8eea1e24ec5cece5d0aba5f9d172b1ebae2af6d720dc1c0,81.69927163
20140313,PAYMENT RECEIVED,0.1,0,90d30bd35acac267fe5dbe874ac1ebe3bda02e4e6c025e3575c6bb870c8e4d2f,81.52037163
20140313,PAYMENT RECEIVED,0.0248,0,4b8dacf194876ce3ff5ff22e9a230039319f8d5025e56b338b6cae9ba152579c,81.54517163
